group,key,ko,en,status,notes
apply,apply.faq.categories.interview.format.answer,직무와 상황에 따라 대면/비대면이 혼합될 수 있으며 안내 메일에서 구체적으로 확인할 수 있습니다.,"Depending on the role and situation, interviews may be in person, remote, or a mix of both. The invitation email will explain the format.",ok,
apply,apply.faq.categories.interview.language.question,영어 면접이 진행될 수 있나요?,Can part of the interview be in English?,ok,
apply,apply.faq.categories.interview.language.answer,글로벌 협업이 많은 직무는 일부 영어 커뮤니케이션 확인이 포함될 수 있습니다.,Some globally collaborative roles may include a light English communication check.,ok,
apply,apply.faq.categories.interview.feedback.question,면접 준비에서 가장 중요한 점은 무엇인가요?,What matters most when preparing for interviews?,ok,
apply,apply.faq.categories.interview.feedback.answer,경험을 나열하기보다 어떤 판단을 했고 무엇을 배웠는지 구조적으로 설명하는 것이 좋습니다.,"Rather than listing experience, explain what you judged, why you decided that way, and what you learned from it.",ok,
apply,apply.faq.categories.global.title,글로벌 지원,Global applicants,ok,
apply,apply.faq.categories.global.english.question,영문 지원서도 가능한가요?,Can I submit my application in English?,ok,
apply,apply.faq.categories.global.english.answer,네. /en/* 경로 기준으로 동일한 구조의 영문 경험을 제공하며 영문 지원도 가능합니다.,"Yes. The /en/* routes provide the same structure in English, and English applications are supported.",ok,
apply,apply.faq.categories.global.relocation.question,해외 지원자도 지원할 수 있나요?,Can overseas candidates apply as well?,ok,
apply,apply.faq.categories.global.relocation.answer,"직무와 법인 상황에 따라 가능하며, 비자와 relocation 지원 여부는 공고별로 안내됩니다.","Yes, depending on the role and legal entity. Visa or relocation support is explained in each opening.",ok,
apply,apply.faq.categories.global.visa.question,비자 지원은 어떻게 이뤄지나요?,How is visa support handled?,ok,
apply,apply.faq.categories.global.visa.answer,채용 확정 후 대상자에게 필요한 서류와 절차를 별도 안내합니다.,"Once hiring is confirmed, eligible candidates receive a separate guide on the required documents and process.",ok,
company,company.newsroom.eyebrow,Company,Company,ok,
company,company.newsroom.title,뉴스룸,Newsroom,ok,
company,company.newsroom.lead,"브랜드와 기술, 사람 이야기를 짧은 에디토리얼 카드로 구성해 최신 흐름을 소개합니다.","Short editorial cards introduce the latest themes across brand, technology, and people stories.",ok,
company,company.newsroom.cards.memory-roadmap.eyebrow,Technology,Technology,ok,
company,company.newsroom.cards.memory-roadmap.title,차세대 메모리 로드맵이 만드는 기회,Opportunities created by the next memory roadmap,ok,
company,company.newsroom.cards.memory-roadmap.description,고객 요구와 기술 혁신이 만나는 지점을 인재 관점에서 풀어낸 스토리입니다.,A story that frames the intersection of customer demand and technical innovation through talent and growth.,ok,
company,company.newsroom.cards.sustainable-operations.eyebrow,Sustainability,Sustainability,ok,
company,company.newsroom.cards.sustainable-operations.title,지속 가능한 오퍼레이션을 위한 현장 혁신,Field innovation for sustainable operations,ok,
company,company.newsroom.cards.sustainable-operations.description,"에너지 효율, 품질 안정성, 팀 협업 관점에서 현재의 변화를 다룹니다.","The story looks at current change through energy efficiency, quality stability, and team collaboration.",ok,
company,company.newsroom.cards.global-campus.eyebrow,Campus,Campus,ok,
company,company.newsroom.cards.global-campus.title,캠퍼스에서 시작되는 글로벌 협업,Global collaboration starts on campus,ok,
company,company.newsroom.cards.global-campus.description,서로 다른 전문성이 연결되는 현장의 분위기와 공간 경험을 보여줍니다.,"See how different specialties connect through place, rituals, and day-to-day work.",ok,
company,company.story.eyebrow,Company,Company,ok,
company,company.story.title,스토리,Story,ok,
company,company.story.lead,사람과 팀이 성장하는 장면을 브랜드 스토리 형식으로 풀어냅니다.,People and team growth moments are told through a clear employer-brand story format.,ok,
company,company.story.cards.mentorship-loop.eyebrow,People,People,ok,
company,company.story.cards.mentorship-loop.title,멘토링 루프가 만든 빠른 적응 경험,How mentoring loops create fast onboarding,ok,
company,company.story.cards.mentorship-loop.description,신규 입사자가 업무 맥락과 문화 언어를 빠르게 익히도록 돕는 사례입니다.,A story about helping new joiners quickly learn both work context and the language of culture.,ok,
company,company.story.cards.career-switching.eyebrow,Career,Career,ok,
company,company.story.cards.career-switching.title,직무 전환을 성장 기회로 바꾼 팀의 방식,Turning career mobility into a growth engine,ok,
company,company.story.cards.career-switching.description,내부 이동과 학습 지원이 커리어 확장을 어떻게 돕는지 보여줍니다.,See how internal movement and learning support help people expand their careers.,ok,
company,company.story.cards.hyway-journey.eyebrow,Journey,Journey,ok,
company,company.story.cards.hyway-journey.title,월간 hy-way가 연결한 후보자 여정,How monthly hy-way connects the candidate journey,ok,
company,company.story.cards.hyway-journey.description,지원 전후의 접점을 콘텐츠 흐름으로 연결하는 브랜딩 실험입니다.,A branding experiment that links candidate touchpoints before and after application through content.,ok,
company,company.campus.eyebrow,Company,Company,ok,
company,company.campus.title,캠퍼스,Campus,ok,
company,company.campus.lead,업무 공간과 협업 환경을 탐색할 수 있도록 캠퍼스 경험을 구조화했습니다.,The campus experience is structured so candidates can explore workspace and collaboration environment.,ok,
company,company.campus.cards.seoul-hub.eyebrow,Seoul,Seoul,ok,
company,company.campus.cards.seoul-hub.title,도심형 협업 허브,An urban collaboration hub,ok,
company,company.campus.cards.seoul-hub.description,"브랜드, 데이터, AI 기획 조직이 빠르게 모여 의사결정을 만드는 공간입니다.","Brand, data, and AI planning teams gather here to make decisions quickly.",ok,
company,company.campus.cards.icheon-campus.eyebrow,Icheon,Icheon,ok,
company,company.campus.cards.icheon-campus.title,제조 현장과 연결된 실전형 캠퍼스,A practical campus connected to manufacturing reality,ok,
company,company.campus.cards.icheon-campus.description,생산 현장과 가까운 환경에서 문제를 빠르게 검증하고 학습합니다.,Teams validate problems and learn quickly in an environment close to production.,ok,
company,company.campus.cards.community-labs.eyebrow,Community,Community,ok,
company,company.campus.cards.community-labs.title,지식 공유를 돕는 커뮤니티 랩,Community labs for knowledge sharing,ok,
company,company.campus.cards.community-labs.description,"세미나, 데모데이, 러닝 세션으로 서로의 전문성을 연결합니다.","Seminars, demo days, and learning sessions connect expertise across the organization.",ok,
apply,apply.sections.hy-way.eyebrow,Apply,Apply,ok,
apply,apply.sections.hy-way.title,월간 hy-way,Monthly hy-way,ok,
apply,apply.sections.hy-way.lead,지원자와 구성원이 매달 함께 보는 성장 콘텐츠 흐름을 샘플 구조로 담았습니다.,A sample structure for monthly growth content shared by candidates and employees alike.,ok,
apply,apply.sections.hy-way.cards.orientation.eyebrow,Monthly Focus,Monthly focus,ok,
apply,apply.sections.hy-way.cards.orientation.title,새로운 도전을 시작하는 월간 오리엔테이션,Orientation for a new challenge each month,ok,
apply,apply.sections.hy-way.cards.orientation.description,이번 달 주요 직무와 문화 키워드를 큐레이션합니다.,Curated role and culture themes introduce what matters most this month.,ok,
apply,apply.sections.hy-way.cards.monthly-challenge.eyebrow,Learning,Learning,ok,
apply,apply.sections.hy-way.cards.monthly-challenge.title,문제 해결 감각을 키우는 월간 챌린지,Monthly challenges that sharpen problem-solving instinct,ok,
apply,apply.sections.hy-way.cards.monthly-challenge.description,짧은 과제와 회고 질문으로 업무 사고 방식을 경험하게 합니다.,Short prompts and reflection questions let candidates experience the team's way of thinking.,ok,
apply,apply.sections.hy-way.cards.mentor-office-hours.eyebrow,Connection,Connection,ok,
apply,apply.sections.hy-way.cards.mentor-office-hours.title,현업과 연결되는 멘토 오피스아워,Mentor office hours connected to real work,ok,
apply,apply.sections.hy-way.cards.mentor-office-hours.description,후보자가 궁금한 직무 맥락을 더 깊게 이해할 수 있도록 돕습니다.,Candidates get more context around the role by hearing directly from the field.,ok,
apply,apply.sections.openings.eyebrow,Apply,Apply,ok,
apply,apply.sections.openings.title,채용 공고,Open roles,ok,
apply,apply.sections.openings.lead,"직무별 포지션 카드를 통해 역할, 근무지, 기대 역량을 빠르게 파악할 수 있습니다.","Role cards help candidates understand responsibilities, location, and expectations quickly.",ok,
apply,apply.sections.openings.cards.ai-service-planner.eyebrow,Seoul · 정규직,Seoul · Full-time,ok,
apply,apply.sections.openings.cards.ai-service-planner.title,AI Service Planner,AI Service Planner,ok,
apply,apply.sections.openings.cards.ai-service-planner.description,AI 서비스 로드맵과 현업 적용 시나리오를 연결할 수 있는 기획자를 찾습니다.,We are looking for a planner who can connect AI service roadmaps with real adoption scenarios.,ok,
apply,apply.sections.openings.cards.process-innovation-engineer.eyebrow,Icheon · 정규직,Icheon · Full-time,ok,
apply,apply.sections.openings.cards.process-innovation-engineer.title,Process Innovation Engineer,Process Innovation Engineer,ok,
apply,apply.sections.openings.cards.process-innovation-engineer.description,공정 데이터 기반의 개선 과제를 리드할 엔지니어를 찾습니다.,We are looking for an engineer who can lead improvement initiatives based on process data.,ok,
apply,apply.sections.openings.cards.global-employer-brand-manager.eyebrow,Seoul · 정규직,Seoul · Full-time,ok,
apply,apply.sections.openings.cards.global-employer-brand-manager.title,Global Employer Brand Manager,Global Employer Brand Manager,ok,
apply,apply.sections.openings.cards.global-employer-brand-manager.description,ko/en 채용 브랜딩 경험을 설계하고 글로벌 후보자 여정을 개선합니다.,Design ko/en recruiting brand experiences and improve the global candidate journey.,ok,
apply,apply.cards.cta.title,지원 흐름도 함께 확인해 보세요.,Continue into the rest of the application journey.,ok,
apply,apply.cards.cta.description,프로그램 소개와 포지션 탐색 후 채용 절차 및 FAQ로 자연스럽게 이어질 수 있도록 구성했습니다.,"After exploring programs and role cards, candidates can move naturally into the process and FAQ pages.",ok,
apply,apply.cards.cta.primary,채용 절차 보기,View hiring process,ok,
apply,apply.cards.cta.secondary,FAQ 보기,Open FAQ,ok,
